group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
その他金融/金融サービス,5203,15,10,100,146.55,0.251,-62.8,30.95,42.0,-17.26,-0.332,-29.08,18.18,11
不動産業,6050,42,25,100,-48.03,0.033,-78.85,28.12,32.0,0.0,0.0,0.0,0.0,7
不動産/不動産(住宅),6051,64,5,75,531.99,0.296,-70.74,32.81,64.0,-27.45,-0.312,-48.24,35.71,14
不動産/不動産(非住宅),6052,30,5,25,-90.13,-0.048,-90.5,31.47,143.0,39.95,0.368,-38.77,36.67,30
不動産/他個人サービス・製品,6053,5,25,100,47.78,0.173,-49.64,33.33,33.0,-6.87,0.053,-36.35,50.0,4
不動産/住宅建設,6054,6,25,50,94.11,0.196,-46.23,52.05,73.0,7.96,0.198,-12.01,36.36,11
不動産/証券・先物,6055,5,25,100,1061.83,0.316,-57.28,37.04,27.0,127.08,0.869,0.0,100.0,4
サービス業,7050,115,5,25,2814.65,0.566,-47.09,40.62,128.0,-35.49,-1.501,-35.49,18.18,33
サービス/SI・ソフトウエア開発,7051,19,5,25,-90.83,-0.228,-91.51,40.16,127.0,-80.87,-1.359,-81.92,19.35,31
サービス/外食・娯楽サービス,70510,45,20,25,-3.38,0.149,-71.83,38.62,145.0,43.79,0.755,-9.84,51.61,31
サービス/建設・土木,70511,29,10,25,-42.49,0.054,-81.25,40.16,127.0,225.54,1.15,-7.55,65.0,20
サービス/建設農業機械・産業車両,70512,3,10,25,961.93,0.424,-47.19,45.69,116.0,-38.83,-0.672,-40.45,25.93,27
サービス/建設関連製品・設備,70513,7,10,50,445.81,0.503,-29.5,53.12,64.0,-45.52,-1.034,-45.52,27.78,18
サービス/産業機械,70514,3,25,75,,,,,,-69.99,-1.132,-69.99,12.5,8
サービス/通信サービス,70515,8,5,75,278.8,0.281,-83.71,25.4,63.0,-29.8,-0.414,-39.13,35.71,14
サービス/金融サービス,70516,5,5,100,86.07,0.246,-88.94,30.0,60.0,-33.61,-0.548,-45.99,36.36,11
サービス/電子部品・産業用電子機器,70517,3,10,25,156.69,0.273,-60.42,35.09,114.0,27.87,0.333,-40.57,40.0,25
サービス/バイオテクノロジー,7052,6,10,50,-66.54,0.128,-81.73,36.07,61.0,-36.65,-0.613,-47.73,26.67,15
サービス/パッケージソフト,7053,4,5,25,1965.1,0.483,-60.76,32.67,101.0,-73.5,-1.165,-74.84,21.43,28
サービス/ヘルスケア製品・サービス,7054,37,25,75,-78.7,-0.05,-88.19,36.96,46.0,-27.91,-0.46,-40.75,27.27,11
サービス/メディア,7055,57,5,25,-61.62,-0.064,-77.38,36.55,145.0,-57.49,-0.841,-60.65,32.35,34
サービス/不動産(住宅),7056,4,5,50,42.32,0.191,-84.41,34.48,87.0,0.77,0.127,-31.66,43.75,16
サービス/不動産(非住宅),7057,9,20,75,30.97,0.199,-7.43,29.55,44.0,1.44,0.272,-1.99,40.0,10
サービス/他個人サービス・製品,7058,65,25,50,-99.86,-0.112,-99.9,35.29,68.0,-58.12,-0.449,-63.55,23.08,13
サービス/他産業サービス・製品,7059,159,25,100,-38.81,-0.023,-59.07,22.58,31.0,-37.94,-0.579,-37.94,28.57,7
