Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2021-11-11,uptrend,-0.0173358181603762,-0.0173358181603762,0.010838175636055,False,False
2021-11-12,uptrend,-5.401974154417566e-05,-0.0061890364796672,0.0106608303376086,False,False
2021-11-15,normal,0.0091418827994633,-0.0005896536789243,0.0106985150750156,False,False
2021-11-16,stable,0.0178470198656062,0.0,0.0069963782408064,False,False
2021-11-17,stable,0.0199799082996599,-0.0040186722931049,0.0069785874126254,False,False
2021-11-18,stable,0.0109571118960947,-0.0070269104664685,0.0063329953197048,False,False
2021-11-19,uptrend,0.0045896174252431,-0.0020883571924255,0.006235661505072,False,False
2021-11-22,uptrend,-9.038601123645408e-05,-0.0011409564442678,0.0060752382709228,False,False
2021-11-24,stable,-0.0169570908513351,-0.0169570908513351,0.0077089877315944,False,False
2021-11-25,stable,-0.0063678482674004,-0.0103609302651064,0.0076306999442461,False,False
2021-11-26,normal,-0.028617545900845,-0.0354433634344983,0.0111541142699533,False,False
2021-11-29,normal,-0.0491479745250866,-0.0511336931914195,0.0109670628637077,False,False
2021-11-30,normal,-0.0655720574135561,-0.066638198996354,0.0109084759860972,False,False
2021-12-01,normal,-0.0466524543620119,-0.0628184553062927,0.0111877996940637,False,False
2021-12-02,downtrend,-0.059184841049149,-0.0689325613033938,0.0111563071509755,False,False
2021-12-03,normal,-0.0251133275170848,-0.0596665901573455,0.0123201061621946,False,False
2021-12-06,normal,-0.0126061303466723,-0.0630952255366141,0.0118074108772558,False,False
2021-12-07,high_vol,0.0227821622028789,-0.0453741990519178,0.0141538716514627,False,False
2021-12-08,high_vol,0.0331118489031385,-0.0317866416035846,0.0146468557238675,False,False
2021-12-09,high_vol,0.0350264343609745,-0.0363205887762464,0.0143847861155647,False,False
2021-12-10,normal,0.0145631636232383,-0.0459723608494093,0.012361523653757,False,False
2021-12-13,settling,0.0255348468435807,-0.0391715056136721,0.0113277012292839,False,False
2021-12-14,settling,-0.0008068353747652,-0.0461444249177863,0.0100468475136501,False,False
2021-12-15,settling,-0.0138908467467936,-0.0441453564679463,0.0100308631570562,False,False
2021-12-16,normal,0.0118657623715776,-0.0237719642117758,0.0112235530658132,False,False
2021-12-17,normal,0.0037946068917753,-0.0412583184950431,0.013077566321198,False,False
2021-12-20,high_vol,-0.0245344853300251,-0.0616743495161221,0.0149643688079719,False,False
2021-12-21,high_vol,0.0029877358163949,-0.0332784215927944,0.0152295607873793,False,False
2021-12-22,high_vol,0.0036012382357548,-0.0317658051894937,0.0144507628367745,False,False
2021-12-23,normal,-0.0092186134672082,-0.0092186134672082,0.014657419693703,False,False
2021-12-24,normal,0.0082993349201541,-0.0097614856541706,0.0142124964989776,False,False
2021-12-27,normal,0.0264390936929601,-0.0134127530010168,0.0141307008010888,False,False
2021-12-28,normal,0.0193414070235982,0.0,0.0144492803173865,False,False
2021-12-29,normal,0.0120673403970446,-0.0055825244349245,0.0146637092945553,False,False
2021-12-30,normal,-0.0002312007007232,-0.0095444525145783,0.0129812996706994,False,False
2022-01-04,normal,0.0180386553666136,0.0,0.0126706430070503,False,False
2022-01-05,normal,0.0228654163489381,0.0,0.0095598416070935,False,False
2022-01-06,normal,-0.0199968286837491,-0.0287837994585987,0.0127484588855666,False,False
2022-01-07,normal,-0.0148172441912247,-0.0291011505742483,0.012736185729142,False,False
2022-01-11,normal,-0.0197706371109958,-0.0378315024051698,0.0126271750020987,False,False
2022-01-12,normal,-0.0182967976838018,-0.019313272428021,0.0143099829154077,False,False
2022-01-13,normal,-0.0287407845990289,-0.0287407845990289,0.0146009321756804,False,False
2022-01-14,high_vol,-0.0127629708615694,-0.0411794035263928,0.0141237128009208,False,False
2022-01-17,high_vol,-0.0050929897031229,-0.0340459284171477,0.0144764937138463,False,False
2022-01-18,high_vol,0.0012319799915709,-0.0366461300676131,0.0144616489172215,False,False
2022-01-19,high_vol,-0.0451381849207408,-0.0635796912864812,0.014828868348543,False,False
2022-01-20,high_vol,-0.0251394531974399,-0.0531577101871838,0.0157047251854389,False,False
2022-01-21,normal,-0.0214056874096287,-0.0617036174964206,0.0135175132291743,False,False
2022-01-24,normal,-0.0262992527209035,-0.0594497986624908,0.013612753404467,False,False
2022-01-25,high_vol,-0.0398450010616744,-0.0750309660378373,0.0141768269506801,False,False
2022-01-26,normal,-0.0165979744897719,-0.0791223716822125,0.0116426916664784,False,False
2022-01-27,crash,-0.0577047119004988,-0.1077949717360411,0.0140764627890816,False,False
2022-01-28,crash,-0.0292461421674515,-0.0891451668943258,0.0166882678337434,False,False
2022-01-31,high_vol,-0.021254923365931,-0.0794411211137305,0.0169826562418333,False,False
2022-02-01,high_vol,-0.0019482773539537,-0.0768330622598142,0.0171433200258249,False,False
2022-02-02,high_vol,0.0193352022924986,-0.0613170164520517,0.0160355024149541,False,False
2022-02-03,high_vol,0.0409246257648034,-0.0529919911830634,0.0158861784470575,False,False
2022-02-04,high_vol,0.0270479918603891,-0.0460851555178707,0.0159015356168827,False,False
2022-02-07,high_vol,0.0091433542128782,-0.052729226702466,0.0160077570405745,False,False
2022-02-08,high_vol,0.0076089595477035,-0.0514898881845472,0.0150615715481462,False,False
2022-02-09,high_vol,0.0016804751978105,-0.0319160919031963,0.0152596497365301,False,False
2022-02-10,normal,0.0166941135400759,-0.0224977152034341,0.0097988915961544,False,False
2022-02-14,normal,-0.013134129697084,-0.0442560510746643,0.0116935985485708,False,False
2022-02-15,downtrend,-0.0140805728678103,-0.0492638366038804,0.0115359634659411,False,False
2022-02-16,normal,0.0064461776273376,-0.0112530186909184,0.0135831152590984,False,False
2022-02-17,normal,-0.0125816405520529,-0.0194455735477582,0.0127288498572587,False,False
2022-02-18,normal,-0.0207253071194852,-0.0207253071194852,0.0123432582240633,False,False
2022-02-21,normal,-0.0062305486936294,-0.0283509772966095,0.0122235992872177,False,False
2022-02-22,normal,-0.0154690916604222,-0.0450053112068191,0.0130871066821121,False,False
2022-02-24,crash,-0.0542446598350963,-0.0622925612851491,0.0138135800858399,False,False
2022-02-25,high_vol,-0.0277741260650599,-0.044034393122955,0.015112330860641,False,False
2022-02-28,high_vol,-0.0219470708961941,-0.0422175182309827,0.0149903324699068,False,False
2022-03-01,high_vol,-0.0024580565255747,-0.0307393455174338,0.0143028785149119,False,False
2022-03-02,high_vol,-0.0021391649805792,-0.0470482024017246,0.0150545919503834,False,False
2022-03-03,normal,0.0233511768766929,-0.0403959890251278,0.013012490362012,False,False
2022-03-04,high_vol,-0.0185458537523841,-0.0617635914604058,0.0143078059891128,False,False
2022-03-07,crash,-0.0492109548325647,-0.0893509086807397,0.0163091526365293,False,False
2022-03-08,crash,-0.0765056007506131,-0.104893214172555,0.0166126021323389,False,False
2022-03-09,crash,-0.0634826711687234,-0.1075441280082999,0.0163533088169534,False,False
2022-03-10,high_vol,-0.0333694603044983,-0.0724174569773912,0.0212394404270587,False,False
2022-03-11,crash,-0.0316596691916403,-0.0914678457783222,0.0207417370393677,False,False
2022-03-14,high_vol,0.0034272252260876,-0.0783874506791562,0.0209174531567946,False,False
2022-03-15,high_vol,0.0224086316783642,-0.0769806664070599,0.0202527632284025,False,False
2022-03-16,high_vol,0.0422566695969104,-0.0618487203697085,0.0209102391201107,False,False
2022-03-17,high_vol,0.0374649760120606,-0.0212970037284764,0.0238716494286842,False,False
2022-03-18,surge,0.0661552673091137,-0.0108635005220898,0.0225133702216101,False,False
2022-03-22,surge,0.0757180003517621,0.0,0.0194883668099167,False,False
