date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-02-19,5714.T,225/非鉄金属,非鉄金属,SELL,9733.37,100,1986167.0000000028,0.7339622375960247,,,2026-02-18,early_take_profit_top
2026-02-19,5901.T,金属製品/飲料,金属製品,BUY,4057.97,100,1580370.0000000028,0.48825498114498583,0.0,0.0,2026-02-18,buy_breakout_up
2026-02-19,6379.T,建設/燃料・資源,建設業,BUY,2576.0699999999997,200,1065156.0000000028,0.4657642677763784,0.0,0.0,2026-02-18,buy_breakout_up
2026-02-19,9063.T,陸運/陸運,陸運業,BUY,4506.599999999999,100,614496.0000000028,0.4368791144525147,0.0,0.0,2026-02-18,buy_breakout_up
2026-02-20,7887.T,その他製品/住宅設備・機器,その他製品,SELL,12132.4,100,1827736.0000000028,0.7820557513998079,,,2026-02-19,early_stop_top
2026-02-20,5901.T,金属製品/飲料,金属製品,SELL,3962.14,100,2223950.000000003,0.4872407706580408,,,2026-02-19,early_stop_top
2026-02-20,9063.T,陸運/陸運,陸運業,SELL,4762.15,100,2700165.000000003,0.48867633714196745,,,2026-02-19,early_take_profit_top
2026-02-26,8387.T,銀行/地方銀行,銀行業,BUY,2338.0,200,2232565.000000003,0.6772529414065078,0.0,0.0,2026-02-25,buy_breakout_up
2026-02-26,8344.T,銀行/地方銀行,銀行業,BUY,2657.2699999999995,200,1701111.0000000028,0.6541993932259994,0.0,0.0,2026-02-25,buy_breakout_up
2026-02-27,6379.T,建設/燃料・資源,建設業,SELL,2610.85,200,2223281.000000003,0.4696268573028008,,,2026-02-26,early_take_profit_top
2026-02-27,8387.T,銀行/地方銀行,銀行業,SELL,2376.53,200,2698587.000000003,0.6843183734955514,,,2026-02-26,early_take_profit_top
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,500,1454704.5000000028,0.464664583407579,0.0,0.0,2026-02-26,buy_breakout_up
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,600,149617.5000000028,0.39548336051232824,0.0,0.0,2026-02-26,buy_breakout_up
2026-03-03,4619.T,化学/タイヤ・ゴム,化学,SELL,2420.6,500,1359917.5000000028,0.470486873186412,,,2026-03-02,early_stop_top
2026-03-03,1879.T,建設/建設・土木,建設業,SELL,2093.2799999999997,600,2615885.500000003,0.3974589973424733,,,2026-03-02,early_stop_top
2026-03-04,8344.T,銀行/地方銀行,銀行業,SELL,2525.0,200,3120885.500000003,0.5931905342274113,,,2026-03-03,early_stop_top
2026-03-05,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,8110.0,100,2309885.500000003,0.7940609878159284,0.0,0.0,2026-03-04,buy_breakout_up
2026-03-05,8393.T,銀行/地方銀行,銀行業,BUY,9220.0,200,465885.5000000028,0.7711566745272712,0.0,0.0,2026-03-04,buy_breakout_up
2026-03-06,7456.T,卸売/非鉄金属・金属製品,卸売業,SELL,7791.0,100,1244985.5000000028,0.8315124848957791,,,2026-03-05,early_stop_top
2026-03-06,8393.T,銀行/地方銀行,銀行業,SELL,9270.0,200,3098985.500000003,0.8517500651472737,,,2026-03-05,sell_signal
2026-03-10,8393.T,銀行/地方銀行,銀行業,BUY,8880.0,100,2210985.500000003,0.7795615672468316,0.0,0.0,2026-03-09,buy_breakout_up
2026-03-10,5714.T,225/非鉄金属,非鉄金属,BUY,9811.0,200,248785.5000000028,0.7109863971740973,0.0,0.0,2026-03-09,buy_breakout_up
2026-03-10,8393.T,銀行/地方銀行,銀行業,SELL_END,9170.0,100,1165785.5000000028,,,,,end_of_backtest
2026-03-10,5714.T,225/非鉄金属,非鉄金属,SELL_END,10055.0,200,3176785.500000003,,,,,end_of_backtest
