date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-02-04,6343.T,機械/住宅建設,機械,BUY,185.74499999999998,600,2871414.5,0.6238520019266824,2026-02-03,buy_breakout_up
2026-02-04,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,887.1099999999999,200,2693992.5,0.5523339517153302,2026-02-03,buy_breakout_up
2026-02-04,4619.T,化学/タイヤ・ゴム,化学,BUY,2390.325,100,2454960.0,0.5431839082248724,2026-02-03,buy_breakout_up
2026-02-04,7483.T,卸売/他個人サービス・製品,卸売業,BUY,3242.9249999999997,100,2130667.5,0.5208815580855066,2026-02-03,buy_breakout_up
2026-02-04,1938.T,建設/設備工事,建設業,BUY,2380.1749999999997,100,1892650.0,0.5025477363141997,2026-02-03,buy_breakout_up
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,200,1597082.0,0.4821330907332208,2026-02-03,buy_breakout_up
2026-02-04,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3222.6249999999995,200,952557.0000000001,0.45139304595841095,2026-02-03,buy_breakout_up
2026-02-05,6343.T,機械/住宅建設,機械,SELL,188.0,600,1065357.0,0.5793002406307904,2026-02-04,sell_signal
2026-02-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,887.0,200,1242757.0,0.47326477330467964,2026-02-04,sell_signal
2026-02-05,4619.T,化学/タイヤ・ゴム,化学,SELL,2403.0,100,1483057.0,0.4510208403291206,2026-02-04,sell_signal
2026-02-05,7483.T,卸売/他個人サービス・製品,卸売業,SELL,3330.0,100,1816057.0,0.43483778415984903,2026-02-04,sell_signal
2026-02-05,1938.T,建設/設備工事,建設業,SELL,2450.0,100,2061057.0,0.46999382175278975,2026-02-04,sell_signal
2026-02-05,3289.T,225/不動産,不動産業,SELL,1494.0,200,2359857.0,0.41197115341448115,2026-02-04,sell_signal
2026-02-05,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3210.0,200,3001857.0,0.36203555224930306,2026-02-04,sell_signal
2026-02-06,6343.T,機械/住宅建設,機械,BUY,190.82,500,2906447.0,0.6335508812233361,2026-02-05,buy_breakout_up
2026-02-06,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,900.305,200,2726386.0,0.5561010228794074,2026-02-05,buy_breakout_up
2026-02-06,1938.T,建設/設備工事,建設業,BUY,2486.7499999999995,100,2477711.0,0.5193554540836547,2026-02-05,buy_breakout_up
2026-02-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3258.1499999999996,300,1500266.0,0.4263892635073874,2026-02-05,buy_breakout_up
2026-02-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.02,1300,91040.0,0.40503273783641225,2026-02-05,buy_breakout_up
