ticker,company_name,sector,promising_score,start_date,start_close,latest_date,latest_close,return_pct_to_latest,max_gain_from_start_pct,max_drawdown_from_start_pct
7981.T,タカラスタンダード,その他製品/住宅設備・機器,0.7936242521443666,2026-01-05,2920.0,2026-03-10,2858.0,-2.1232876712328763,5.821917808219168,-4.965753424657537
9906.T,藤井産業,卸売/設備機器・部品,0.7804703912868615,2026-01-05,4345.0,2026-03-10,4240.0,-2.4165707710011475,5.063291139240511,-9.436133486766396
9791.T,ビケンテクノ,大幅強気/増額,0.7619690223028959,2026-01-05,1413.0,2026-03-10,1360.0,-3.7508846426043907,3.113941967445144,-6.086341118188255
6357.T,三精テクノロジーズ,機械/外食・娯楽サービス,0.7711988548672646,2026-01-05,2417.0,2026-03-06,2325.0,-3.8063715349606952,9.846917666528764,-6.785270997103843
7722.T,国際計測器,精密機器/自動車部品,0.7520563734161684,2026-01-05,916.0,2026-03-10,871.0,-4.912663755458513,19.32314410480349,-6.877729257641918
9074.T,日本石油輸送,陸運/燃料・資源,0.7546448894698019,2026-01-05,5450.0,2026-03-10,5170.0,-5.137614678899083,4.954128440366978,-7.522935779816509
1718.T,美樹工業,建設/建設・土木,0.74162694470038,2026-01-05,8520.0,2026-03-10,8060.0,-5.39906103286385,16.19718309859155,-8.450704225352112
3020.T,アプライド,増額/小売,0.7527252272366858,2026-01-05,4355.0,2026-03-10,4100.0,-5.855338691159584,1.3777267508610747,-8.49598163030999
1965.T,テクノ菱和,建設/設備工事,0.7595415126647993,2026-01-05,6870.0,2026-03-10,6460.0,-5.9679767103347885,29.985443959243096,-9.024745269286749
5280.T,ヨシコン,不動産/不動産(住宅),0.8274197798173388,2026-01-05,2946.0,2026-03-10,2664.0,-9.57230142566191,6.924643584521384,-13.000678886625938
5105.T,TOYO TIRE,ゴム/タイヤ・ゴム,0.7421134701705052,2026-01-05,4310.0,2026-03-10,3875.0,-10.092807424593964,11.995359628770297,-12.552204176334103
8515.T,アイフル,その他金融/リース・消費者金融,0.8142333875007108,2026-01-05,548.0,2026-03-10,477.0,-12.956204379562042,8.576642335766426,-14.41605839416058
