quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2024Q2_PRE_ALIGNED,3028,2462.T,ライク,サービス業,0.2794031711487642,-8.791866028708128,-8.955223880597018,7.717176414354015,16.026936026936035,0.006397457201916534,29.398786541643684,50.0,82.88043478260869,0.0,1525.0,4988,-8.791866028708128,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3029,6532.T,ベイカレント,サービス業,0.2790777864138039,-44.34902095499829,9.385550303848756,15.557978104841524,35.7847533632287,0.7457505203404186,51.331157677773966,33.33333333333333,54.55463882808553,0.0,3240.0,2342,-44.34902095499829,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3030,7325.T,アイリックコーポレーション,保険業,0.2790777864138038,-6.274007682458382,-3.0463576158940353,8.60417284051065,13.450292397660824,0.017541104317278733,28.48545636910732,41.66666666666667,69.0566037735849,10.0,732.0,1820,-6.274007682458382,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3031,3401.T,帝人,繊維製品,0.27893011036841286,-3.57142857142857,-5.51431601272534,13.171110408647513,19.409434641699686,0.00888961320197501,23.790322580645164,33.33333333333333,80.60916767189384,10.0,1336.5,6535,-3.57142857142857,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3032,3958.T,笹徳印刷,パルプ・紙,0.27875184206435566,-10.151515151515156,0.5084745762711895,3.883792716842116,5.962521294718903,0.024890943520623376,26.973684210526315,33.33333333333333,76.02564102564102,0.0,593.0,600,-10.151515151515156,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3033,7809.T,壽屋,その他製品,0.27864411627545466,-33.47826277798573,1.6702586206896575,7.85956295310638,10.949330227140353,0.3799989620990506,54.78873359023909,50.0,58.96875,10.0,1887.0,2080,-33.47826277798573,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3034,4885.T,室町ケミカル,医薬品,0.27856045390952905,-17.708333333333336,-5.827814569536427,8.947403777792012,17.56373937677054,0.47305667188757194,22.004608294930872,33.33333333333333,80.33898305084746,0.0,711.0,1231,-17.708333333333336,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3035,7367.T,セルム,サービス業,0.27844648945541217,-36.625194401244165,16.262482168330948,24.962672785175876,65.40284360189574,0.4805155121334981,52.06106870229008,33.33333333333333,59.48905109489051,25.0,407.5,1204,-36.625194401244165,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3036,9345.T,ビズメイツ,サービス業,0.2784456396704493,-51.55807365439094,7.378335949764514,10.279487966876449,20.63745019920318,0.7247026821664686,58.00068236096896,25.0,45.645645645645644,90.0,684.0,720,-51.55807365439094,2024-06-30,2024-06-30
2024Q2_PRE_ALIGNED,3037,5884.T,クラダシ,小売業,0.2781944867609721,-57.19745222929936,11.258278145695355,32.257655405563504,76.81818181818181,0.8224981799526361,71.59235668789809,25.0,38.225255972696246,30.0,336.0,657,-57.19745222929936,2024-06-30,2024-06-30
