Date,Adj Close,Close,High,Low,Open,Volume,close,ret1,ret5,ret20,ret60,dd20,range20,vol10,vol20,ma20,ma60,ma20_slope_5,ma_gap_20_60,prior_surge_10d,prior_crash_10d,phase
2024-12-04,39276.390625,39276.390625,39417.078125,39062.03125,39354.0,119100000,39276.390625,0.0007014535056153459,0.029931108177452037,-0.005174209057200896,0.0714541386786216,-0.006499066748480553,0.03963450337452623,0.009670003018002563,0.008540754944376814,38697.0787109375,38371.0638671875,-0.000997172298576987,0.008496372289244603,False,False,stable
2024-12-05,39395.6015625,39395.6015625,39632.30078125,39323.0390625,39610.4296875,116400000,39395.6015625,0.0030351805652966135,0.02728992593629309,0.0003603580012421226,0.08255046898869667,-0.0034836120242714985,0.03963450337452623,0.008876745339446258,0.00855259643283506,38697.78828125,38421.13274739583,0.00021969905308694138,0.007200608469122294,False,False,stable
2024-12-06,39091.171875,39091.171875,39468.46875,38940.44140625,39371.55859375,101500000,39091.171875,-0.007727504478311609,0.0231140049907701,-0.010359376568356948,0.07939699923375887,-0.011184196875064889,0.03963450337452623,0.009461983557155815,0.008692821620331906,38677.3283203125,38469.0564453125,0.0008202991836703255,0.005414010486482379,False,False,stable
2024-12-09,39160.5,39160.5,39332.55078125,38972.78125,39332.55078125,113100000,39160.5,0.0017734982522827902,0.01681198920860072,-0.009430533776393135,0.08300358279287168,-0.005967710941715665,0.03601282011772322,0.00866657602885686,0.008702854225648524,38658.6873046875,38519.078776041664,-0.00025621365206207614,0.0036243994685736247,False,False,stable
2024-12-10,39367.578125,39367.578125,39465.140625,39171.69140625,39375.48828125,110300000,39367.578125,0.00528793363210367,0.0030247694300034045,-0.0002161646517918614,0.1052170927288556,-0.0007113341690072605,0.03601282011772322,0.008027730898350708,0.008750991327863814,38658.26171875,38581.542252604166,-0.0012667136132327173,0.001988501798179332,False,False,stable
2024-12-11,39372.23046875,39372.23046875,39401.9296875,39112.80078125,39357.76953125,105800000,39372.23046875,0.00011817703733840723,0.002440138776117484,0.016801198860658673,0.06893118557791622,-0.000593241195033456,0.03601282011772322,0.007230908024745228,0.007826891643936884,38690.790234375,38623.85826822917,-0.00016250520121874334,0.0017329176614364616,False,False,stable
2024-12-12,39849.140625,39849.140625,40091.55078125,39827.58984375,39849.96875,121100000,39849.140625,0.01211285595385636,0.011512428913681427,0.03408375695466637,0.08931715567365095,0.0,0.04793984406299123,0.00774370286632101,0.008091965397985531,38756.4623046875,38678.31458333333,0.0015162112886415446,0.002020453119429444,False,False,uptrend
2024-12-13,39470.44140625,39470.44140625,39734.98828125,39247.41015625,39624.05078125,123900000,39470.44140625,-0.009503322099559064,0.00970217860090683,0.02141482736817535,0.09024674515301201,-0.009503322099559064,0.04793984406299123,0.008551716202049814,0.008463907033446157,38797.8388671875,38732.768294270834,0.0031157929492173775,0.0016799876637345612,False,False,stable
2024-12-16,39457.48828125,39457.48828125,39632.171875,39371.421875,39551.21875,87500000,39457.48828125,-0.00032817279307018055,0.007583873577967637,0.03235502790218603,0.08458773688105348,-0.009828376160872399,0.04793984406299123,0.008448088474389425,0.007990601195475374,38859.670703125,38784.056901041666,0.005198919374924893,0.0019496104359650879,False,False,uptrend
2024-12-17,39364.6796875,39364.6796875,39796.21875,39364.6796875,39589.6484375,115700000,39364.6796875,-0.0023521161075552577,-7.362498883722868e-05,0.02473679832631248,0.0594625770782371,-0.012157374786548436,0.04793984406299123,0.006166599668726608,0.007994601386170004,38907.183203125,38820.87942708333,0.006439024242372193,0.0022231277939948058,False,False,stable
2024-12-18,39081.7109375,39081.7109375,39382.69140625,39081.7109375,39176.87890625,132200000,39081.7109375,-0.007188392036881042,-0.007378792813899304,0.019017642645051236,0.03599310823363955,-0.019258374847324622,0.04793984406299123,0.006600661765217792,0.008194442054765516,38943.6517578125,38843.509440104164,0.0065354447894641066,0.002578096550795772,False,False,stable
2024-12-19,38813.578125,38813.578125,38913.0703125,38355.51953125,38522.26953125,147700000,38813.578125,-0.006860825845849017,-0.025987072337272044,0.02070695553021662,0.023009349217953945,-0.025987072337272044,0.04495013189174313,0.00675557105117263,0.008102096323040842,38983.0220703125,38858.059244791664,0.005845728741800116,0.0032158792268450753,False,False,stable
2024-12-20,38701.8984375,38701.8984375,39039.6796875,38701.8984375,38950.28125,184500000,38701.8984375,-0.0028773355329502204,-0.019471354800412843,0.010919666071673051,0.021960152399428612,-0.028789634343588832,0.04495013189174313,0.006422013447844982,0.008030635875563038,39003.9244140625,38871.91985677083,0.0053117790292513956,0.0033958846843187285,False,False,stable
2024-12-23,39161.33984375,39161.33984375,39210.171875,38847.12890625,39040.71875,103200000,39161.33984375,0.011871288613708675,-0.007505506569223996,0.009829753389399842,0.006055417577650379,-0.017260115788256147,0.04495013189174313,0.007590881848619837,0.007945214346735598,39022.984375,38875.848372395834,0.004202651976200844,0.003784766346311752,False,False,stable
2024-12-24,39036.8515625,39036.8515625,39245.75,38995.76171875,39210.23046875,116200000,39036.8515625,-0.0031788565392986134,-0.00832797643985661,0.015474001417720151,-0.019902480952284307,-0.020384104895612154,0.04495013189174313,0.007409017871777889,0.007698913271682348,39052.726953125,38862.63658854167,0.0037407938076665648,0.004891339890185975,False,False,stable
2024-12-25,39130.4296875,39130.4296875,39180.58984375,38927.16015625,39168.51953125,116100000,39130.4296875,0.0023971739844381723,0.0012465869285485098,0.026103625363532057,0.031932838899788374,-0.018035795157125833,0.04295194809337377,0.007475786837630128,0.007420538362188238,39102.5,38882.81790364583,0.004078925191077776,0.0056498501960058345,False,False,stable
2024-12-26,39568.05859375,39568.05859375,39592.28125,39110.921875,39129.30859375,131400000,39568.05859375,0.01118385128261945,0.019438570345670758,0.031786960220157034,0.02370098790245967,-0.007053653525307402,0.04295194809337377,0.007304182881779677,0.007689985336853975,39163.45,38898.08606770833,0.004628372047761342,0.006822030570598159,False,False,uptrend
