name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,1.0,3,3,3344716.8456420894,11.490561521402975,12,12,-2.2938863846864055,20
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,0.5,5,4,3327780.829284668,10.926027642822266,19,19,-4.618206804408254,30
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,0.5,4,3,3286011.829284669,9.5337276428223,12,12,-5.714884110976415,20
max_drawdown_pct_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,5,1.0,5,4,3277289.0,9.242966666666664,2,2,-1.8925998052580328,5
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,0.5,4,3,3260559.6130981445,8.685320436604815,14,14,-4.530116139548934,20
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,0.5,5,4,3257326.275695801,8.57754252319336,14,14,-4.5346324890841005,20
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,1.0,3,3,3257061.174865722,8.568705828857404,16,16,-2.1858528042186576,30
max_drawdown_pct_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,8,1.0,5,4,3250289.0,8.342966666666673,2,2,-1.9093320235756384,8
overall_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,30,0.5,3,3,3231170.446411133,7.705681547037768,19,19,-3.488151881108581,30
overall_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,20,0.5,3,3,3215059.6130981445,7.16865376993816,14,14,-4.530116139548934,20
