symbol,status,rows,path,error
1966.T,ok,6465.0,data\prices\1966_T.csv,
1967.T,ok,6276.0,data\prices\1967_T.csv,
1968.T,ok,6276.0,data\prices\1968_T.csv,
1969.T,ok,6276.0,data\prices\1969_T.csv,
196A.T,ok,418.0,data\prices\196A_T.csv,
1972.T,ok,6276.0,data\prices\1972_T.csv,
1975.T,skipped_exists,,data\prices\1975_T.csv,
1976.T,ok,6470.0,data\prices\1976_T.csv,
1979.T,ok,6276.0,data\prices\1979_T.csv,
197A.T,ok,419.0,data\prices\197A_T.csv,
1980.T,ok,6273.0,data\prices\1980_T.csv,
1981.T,ok,6535.0,data\prices\1981_T.csv,
1982.T,ok,6276.0,data\prices\1982_T.csv,
198A.T,ok,419.0,data\prices\198A_T.csv,
1992.T,ok,6535.0,data\prices\1992_T.csv,
1994.T,ok,6535.0,data\prices\1994_T.csv,
1997.T,ok,6535.0,data\prices\1997_T.csv,
199A.T,ok,427.0,data\prices\199A_T.csv,
2001.T,ok,6276.0,data\prices\2001_T.csv,
2002.T,skipped_exists,,data\prices\2002_T.csv,
2003.T,ok,6276.0,data\prices\2003_T.csv,
2004.T,ok,6276.0,data\prices\2004_T.csv,
2009.T,ok,6273.0,data\prices\2009_T.csv,
200A.T,ok,427.0,data\prices\200A_T.csv,
2011.T,ok,550.0,data\prices\2011_T.csv,
2012.T,ok,519.0,data\prices\2012_T.csv,
2013.T,ok,519.0,data\prices\2013_T.csv,
2014.T,ok,519.0,data\prices\2014_T.csv,
2015.T,ok,519.0,data\prices\2015_T.csv,
2016.T,ok,519.0,data\prices\2016_T.csv,
2017.T,ok,516.0,data\prices\2017_T.csv,
2018.T,ok,515.0,data\prices\2018_T.csv,
2019.T,ok,515.0,data\prices\2019_T.csv,
201A.T,ok,421.0,data\prices\201A_T.csv,
202A.T,ok,414.0,data\prices\202A_T.csv,
2031.T,ok,2164.0,data\prices\2031_T.csv,
2032.T,ok,2146.0,data\prices\2032_T.csv,
2033.T,ok,1803.0,data\prices\2033_T.csv,
2034.T,ok,210.0,data\prices\2034_T.csv,
2036.T,ok,2226.0,data\prices\2036_T.csv,
2037.T,ok,2166.0,data\prices\2037_T.csv,
2038.T,ok,210.0,data\prices\2038_T.csv,
2039.T,ok,3135.0,data\prices\2039_T.csv,
203A.T,ok,413.0,data\prices\203A_T.csv,
2040.T,ok,2101.0,data\prices\2040_T.csv,
2041.T,ok,2097.0,data\prices\2041_T.csv,
2042.T,ok,210.0,data\prices\2042_T.csv,
2043.T,ok,1933.0,data\prices\2043_T.csv,
2044.T,ok,210.0,data\prices\2044_T.csv,
2045.T,ok,131.0,data\prices\2045_T.csv,
2046.T,ok,210.0,data\prices\2046_T.csv,
2047.T,ok,193.0,data\prices\2047_T.csv,
2048.T,ok,1808.0,data\prices\2048_T.csv,
204A.T,ok,413.0,data\prices\204A_T.csv,
2050.T,ok,1619.0,data\prices\2050_T.csv,
2053.T,ok,6276.0,data\prices\2053_T.csv,
2055.T,ok,6470.0,data\prices\2055_T.csv,
205A.T,ok,413.0,data\prices\205A_T.csv,
2060.T,ok,2809.0,data\prices\2060_T.csv,
2065.T,ok,1278.0,data\prices\2065_T.csv,
2066.T,ok,1255.0,data\prices\2066_T.csv,
2067.T,ok,155.0,data\prices\2067_T.csv,
2068.T,ok,30.0,data\prices\2068_T.csv,
2069.T,ok,12.0,data\prices\2069_T.csv,
206A.T,ok,411.0,data\prices\206A_T.csv,
2070.T,ok,1290.0,data\prices\2070_T.csv,
2071.T,ok,1213.0,data\prices\2071_T.csv,
2072.T,ok,1291.0,data\prices\2072_T.csv,
2073.T,ok,321.0,data\prices\2073_T.csv,
207A.T,ok,416.0,data\prices\207A_T.csv,
2080.T,ok,605.0,data\prices\2080_T.csv,
2081.T,ok,605.0,data\prices\2081_T.csv,
2082.T,ok,605.0,data\prices\2082_T.csv,
2083.T,ok,605.0,data\prices\2083_T.csv,
2084.T,ok,605.0,data\prices\2084_T.csv,
2085.T,ok,605.0,data\prices\2085_T.csv,
2086.T,ok,375.0,data\prices\2086_T.csv,
2087.T,ok,333.0,data\prices\2087_T.csv,
2088.T,ok,600.0,data\prices\2088_T.csv,
2089.T,ok,600.0,data\prices\2089_T.csv,
208A.T,ok,6274.0,data\prices\208A_T.csv,
2090.T,ok,600.0,data\prices\2090_T.csv,
2091.T,ok,600.0,data\prices\2091_T.csv,
2092.T,ok,600.0,data\prices\2092_T.csv,
2093.T,ok,593.0,data\prices\2093_T.csv,
2094.T,ok,585.0,data\prices\2094_T.csv,
2095.T,ok,571.0,data\prices\2095_T.csv,
2096.T,ok,571.0,data\prices\2096_T.csv,
2097.T,ok,571.0,data\prices\2097_T.csv,
2098.T,ok,571.0,data\prices\2098_T.csv,
209A.T,ok,403.0,data\prices\209A_T.csv,
2108.T,ok,6276.0,data\prices\2108_T.csv,
2109.T,ok,6276.0,data\prices\2109_T.csv,
210A.T,ok,411.0,data\prices\210A_T.csv,
2112.T,ok,6276.0,data\prices\2112_T.csv,
2114.T,ok,6272.0,data\prices\2114_T.csv,
2117.T,ok,6272.0,data\prices\2117_T.csv,
211A.T,ok,400.0,data\prices\211A_T.csv,
2120.T,ok,4755.0,data\prices\2120_T.csv,
2121.T,ok,4788.0,data\prices\2121_T.csv,
2122.T,ok,4785.0,data\prices\2122_T.csv,
2124.T,skipped_exists,,data\prices\2124_T.csv,
2127.T,ok,4770.0,data\prices\2127_T.csv,
212A.T,ok,397.0,data\prices\212A_T.csv,
2130.T,skipped_exists,,data\prices\2130_T.csv,
2134.T,ok,4728.0,data\prices\2134_T.csv,
2136.T,ok,4719.0,data\prices\2136_T.csv,
2138.T,ok,4684.0,data\prices\2138_T.csv,
2139.T,ok,2759.0,data\prices\2139_T.csv,
213A.T,ok,399.0,data\prices\213A_T.csv,
2146.T,skipped_exists,,data\prices\2146_T.csv,
2148.T,ok,4639.0,data\prices\2148_T.csv,
2150.T,error,,,No price data from stooq: 2150.T
2152.T,ok,4615.0,data\prices\2152_T.csv,
2153.T,ok,4611.0,data\prices\2153_T.csv,
2154.T,ok,4608.0,data\prices\2154_T.csv,
2156.T,ok,4597.0,data\prices\2156_T.csv,
2157.T,skipped_exists,,data\prices\2157_T.csv,
2158.T,ok,4594.0,data\prices\2158_T.csv,
