week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,銀行,設備工事,ドラッグストア,電気ガス,ガス,空運業,ゴム製品,パルプ紙,大手銀行,家電・コンピュータ小売り,ガラス土石,電気・ガス業,水産農林,リース・消費者金融,ゴム,空運,非鉄金属・金属製品,不動産,鉱業,保険,大幅増額,石油石炭,小売,コンビニ・食品小売り,ガラス・土石製品,民生用エレクトロニクス,保険業,建設,増額,飲料,建設農業機械・産業車両,大幅減額,電子デバイス製造装置,証券先物,その他金融,総合スーパー,石油・石炭製品,不動産(住宅),不動産(非住宅),パッケージソフト,食品,建設関連製品・設備,前号並み,事務機器,水産・農林業,その他
21,0.0,0.0,5.454545454545454,50.0,0.0,5.555555555555555,16.129032258064516,50.0,0.0,0.0,0.0,0.0,25.0,0.0,11.11111111111111,0.0,33.33333333333333,0.0,8.333333333333332,0.0,0.0,4.166666666666666,0.0,0.0,14.285714285714285,0.0,0.0,5.084745762711865,4.0,0.0,0.0,33.33333333333333,13.793103448275861,20.0,15.384615384615385,6.896551724137931,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,12.121212121212121,15.151515151515152,17.741935483870968,5.128205128205128,9.30232558139535,13.636363636363635,18.181818181818183,0.0,9.00520156046814
22,50.0,100.0,10.909090909090908,100.0,0.0,5.555555555555555,29.03225806451613,16.666666666666664,0.0,14.285714285714285,100.0,20.0,50.0,25.0,0.0,22.22222222222222,33.33333333333333,0.0,16.666666666666664,0.0,0.0,12.5,11.76470588235294,0.0,28.57142857142857,0.0,0.0,11.864406779661017,12.0,0.0,20.0,0.0,20.689655172413794,20.0,30.76923076923077,13.793103448275861,20.0,8.333333333333332,0.0,20.0,0.0,0.0,19.696969696969695,12.121212121212121,20.967741935483872,9.401709401709402,16.27906976744186,9.090909090909092,27.27272727272727,0.0,13.198959687906372
23,0.0,100.0,16.363636363636363,100.0,11.11111111111111,5.555555555555555,22.58064516129032,16.666666666666664,0.0,0.0,100.0,0.0,25.0,25.0,0.0,22.22222222222222,33.33333333333333,0.0,25.0,0.0,0.0,25.0,11.76470588235294,0.0,28.57142857142857,0.0,0.0,11.864406779661017,12.0,0.0,20.0,0.0,17.24137931034483,23.333333333333332,15.384615384615385,37.93103448275862,20.0,5.555555555555555,0.0,0.0,14.285714285714285,0.0,16.666666666666664,6.0606060606060606,32.25806451612903,12.82051282051282,18.6046511627907,13.636363636363635,18.181818181818183,0.0,13.426527958387515
24,0.0,0.0,9.090909090909092,50.0,0.0,5.555555555555555,38.70967741935484,16.666666666666664,0.0,0.0,0.0,0.0,25.0,0.0,22.22222222222222,11.11111111111111,33.33333333333333,0.0,0.0,0.0,100.0,12.5,23.52941176470588,50.0,14.285714285714285,0.0,0.0,15.254237288135593,0.0,0.0,0.0,0.0,0.0,16.666666666666664,7.6923076923076925,20.689655172413794,20.0,8.333333333333332,0.0,0.0,14.285714285714285,0.0,12.121212121212121,9.090909090909092,29.03225806451613,11.11111111111111,16.27906976744186,9.090909090909092,18.181818181818183,0.0,12.321196358907672
25,50.0,0.0,10.909090909090908,0.0,0.0,5.555555555555555,45.16129032258064,16.666666666666664,0.0,28.57142857142857,0.0,0.0,25.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,25.0,0.0,0.0,12.5,35.294117647058826,50.0,0.0,0.0,0.0,23.728813559322035,16.0,0.0,0.0,0.0,20.689655172413794,10.0,0.0,24.137931034482758,40.0,16.666666666666664,0.0,0.0,14.285714285714285,0.0,13.636363636363635,12.121212121212121,17.741935483870968,11.11111111111111,11.627906976744185,4.545454545454546,9.090909090909092,0.0,12.67880364109233
26,50.0,50.0,10.909090909090908,0.0,22.22222222222222,0.0,45.16129032258064,33.33333333333333,25.0,14.285714285714285,0.0,20.0,0.0,0.0,22.22222222222222,33.33333333333333,0.0,0.0,25.0,100.0,0.0,16.666666666666664,23.52941176470588,0.0,0.0,0.0,0.0,16.94915254237288,8.0,0.0,0.0,33.33333333333333,24.137931034482758,10.0,0.0,20.689655172413794,20.0,27.77777777777778,0.0,40.0,0.0,0.0,10.606060606060606,21.21212121212121,25.806451612903224,11.11111111111111,13.953488372093023,9.090909090909092,0.0,0.0,13.101430429128738
27,50.0,100.0,21.818181818181817,0.0,33.33333333333333,5.555555555555555,38.70967741935484,50.0,25.0,14.285714285714285,0.0,20.0,25.0,0.0,44.44444444444444,11.11111111111111,0.0,0.0,25.0,0.0,0.0,12.5,17.647058823529413,0.0,0.0,0.0,0.0,22.033898305084744,12.0,25.0,20.0,0.0,17.24137931034483,16.666666666666664,23.076923076923077,0.0,20.0,5.555555555555555,0.0,20.0,14.285714285714285,0.0,10.606060606060606,12.121212121212121,14.516129032258066,9.401709401709402,11.627906976744185,13.636363636363635,0.0,0.0,8.907672301690507
28,50.0,100.0,54.54545454545454,50.0,22.22222222222222,11.11111111111111,45.16129032258064,33.33333333333333,25.0,0.0,0.0,20.0,25.0,0.0,44.44444444444444,44.44444444444444,0.0,0.0,41.66666666666667,100.0,0.0,20.833333333333336,5.88235294117647,0.0,0.0,0.0,0.0,27.11864406779661,24.0,25.0,20.0,0.0,34.48275862068966,13.333333333333334,38.46153846153847,17.24137931034483,40.0,13.88888888888889,0.0,20.0,28.57142857142857,0.0,25.757575757575758,15.151515151515152,16.129032258064516,14.529914529914532,18.6046511627907,13.636363636363635,9.090909090909092,0.0,13.263979193758127
29,0.0,50.0,41.81818181818181,50.0,33.33333333333333,22.22222222222222,45.16129032258064,16.666666666666664,0.0,0.0,0.0,20.0,0.0,25.0,0.0,11.11111111111111,0.0,0.0,25.0,100.0,0.0,16.666666666666664,11.76470588235294,0.0,0.0,0.0,0.0,18.64406779661017,16.0,0.0,0.0,0.0,24.137931034482758,10.0,23.076923076923077,10.344827586206897,20.0,13.88888888888889,0.0,40.0,28.57142857142857,0.0,13.636363636363635,15.151515151515152,19.35483870967742,8.547008547008547,4.651162790697675,9.090909090909092,0.0,0.0,9.59037711313394
30,25.0,100.0,63.63636363636363,50.0,33.33333333333333,50.0,67.74193548387096,16.666666666666664,25.0,28.57142857142857,0.0,40.0,0.0,25.0,11.11111111111111,55.55555555555556,33.33333333333333,0.0,50.0,100.0,0.0,29.166666666666668,5.88235294117647,0.0,28.57142857142857,0.0,0.0,22.033898305084744,12.0,50.0,20.0,66.66666666666666,31.03448275862069,20.0,38.46153846153847,10.344827586206897,40.0,19.444444444444446,33.33333333333333,40.0,14.285714285714285,0.0,19.696969696969695,27.27272727272727,19.35483870967742,18.803418803418804,23.25581395348837,13.636363636363635,27.27272727272727,0.0,16.38491547464239
