horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
30,0.7,-0.01,0.05,0.16,3129343.320000001,129343.32000000123,471,88,0.18683651804670912
10,0.65,0.0,0.03,0.12,3129306.0,129306.0,275,73,0.26545454545454544
15,0.7,0.0,0.03,0.08,3129239.0,129239.0,422,111,0.26303317535545023
20,0.65,-0.01,0.05,0.2,3128161.8500000006,128161.85000000056,322,83,0.2577639751552795
15,0.55,-0.01,0.07,0.12,3126966.825000001,126966.82500000112,135,19,0.14074074074074075
15,0.65,-0.03,0.05,0.08,3125333.450000001,125333.45000000112,104,18,0.17307692307692307
30,0.7,0.0,0.07,0.16,3124771.5,124771.5,79,4,0.05063291139240506
30,0.7,0.0,0.07,0.2,3124771.5,124771.5,79,4,0.05063291139240506
10,0.55,-0.02,0.05,0.2,3119348.8000000003,119348.80000000028,201,49,0.24378109452736318
20,0.7,-0.02,0.05,0.16,3114020.7,114020.70000000019,94,10,0.10638297872340426
20,0.7,-0.03,0.05,0.16,3112462.8000000003,112462.80000000028,94,10,0.10638297872340426
15,0.55,-0.01,0.07,0.08,3108082.625000001,108082.62500000093,135,19,0.14074074074074075
20,0.65,-0.01,0.05,0.16,3105706.200000001,105706.20000000112,322,81,0.2515527950310559
20,0.65,0.0,0.07,0.16,3104436.5,104436.5,76,3,0.039473684210526314
20,0.65,0.0,0.07,0.2,3104436.5,104436.5,76,3,0.039473684210526314
10,0.55,-0.01,0.05,0.16,3104217.2999999993,104217.29999999935,201,47,0.23383084577114427
30,0.6,-0.02,0.07,0.2,3103238.860000002,103238.8600000022,678,101,0.14896755162241887
10,0.65,0.0,0.03,0.08,3101185.75,101185.75,275,76,0.27636363636363637
10,0.55,-0.02,0.07,0.08,3100461.2700000005,100461.27000000048,79,4,0.05063291139240506
10,0.55,-0.02,0.07,0.12,3100461.2700000005,100461.27000000048,79,4,0.05063291139240506
10,0.55,-0.02,0.07,0.16,3100461.2700000005,100461.27000000048,79,4,0.05063291139240506
