fast,slow,train_sharpe_mean,train_sharpe_med,train_return_mean,test_sharpe_mean,test_sharpe_med,test_return_mean,n_sectors_train,n_sectors_test
45,140,-0.019451105161816744,0.01429238638812631,-2.3006546371137584,0.2777521650350554,0.4379406983076676,38.57638164657064,33,33
45,150,-0.03908390115946159,0.034076929602996874,-6.494207044403123,0.24041659965600676,0.43155107468820886,41.98316104885035,33,32
45,160,-0.02964878577318675,0.015358879333378235,13.98506728670265,0.228430101609395,0.3850010068049454,40.31350676797855,33,31
45,170,-0.018591402154825278,0.03811185226960797,20.350329080554843,0.19749116296246771,0.4070770042861964,35.41111058136828,33,29
45,180,-0.016625094433213368,0.044996546945265885,31.09220327050699,0.1670645767830694,0.41547557935286433,31.33589842850113,33,28
45,190,-0.02665077370848128,0.05527164020938661,22.82826168344395,0.17890730001784466,0.38076661232911313,33.502411154837446,33,28
45,200,-0.021527868013733846,0.024882260824272397,15.67657750397563,0.11039285211276574,0.3555428125282485,31.173817270919567,33,27
50,60,-0.07727748100081411,-0.006569156118647334,-28.630724498206927,0.1683538069176757,0.1596580766117917,19.886832663041474,33,33
50,70,-0.009120047671903088,0.027407813698827305,13.660212754514452,0.26626197922520983,0.3156590136413462,27.694193878141807,33,33
50,80,-0.017575452586494122,0.02043024647330199,7.25703346456171,0.3048897910509863,0.378182202011997,37.12554851560125,33,33
50,90,-0.02377689989841731,0.001117104182191419,4.391182858214476,0.32695637361823443,0.47930114775897187,39.67804669280876,33,33
50,100,-0.02950603740964212,0.02774004490927433,11.35031195577253,0.28719074778011083,0.39071478766887063,36.186560308536244,33,33
50,110,-0.023850026488259034,0.03314353093616688,-3.1620657162303165,0.2683085447589287,0.43681645323074725,35.00643390970263,33,33
50,120,-0.005780264625357605,0.032290251252243655,17.25432993592139,0.2780227240685101,0.42563248527235054,36.37902857349635,33,33
50,130,-0.030935322020320916,0.022442270020375705,-1.6101695464132282,0.2795739824698194,0.4696736619332995,37.446856202629746,33,33
50,140,-0.03272009811391889,0.00659917411678769,-3.676527978470243,0.2978342815594378,0.43647364200447,38.50433219729287,33,32
50,150,-0.03780216041943591,0.023334396290301974,-3.39082819206883,0.2555253672989895,0.4288972701363568,40.61000356516597,33,31
50,160,-0.04914021988128941,-0.0020722930072940224,3.422374966923675,0.2318788013177252,0.3227643662676059,39.587798109310164,33,30
50,170,-0.03151362532039259,0.021321957284642618,18.22334858234302,0.19662150493314542,0.3797638532134474,35.213213549117626,33,29
50,180,-0.018874937696699828,0.0435415755044223,22.371494276240227,0.17360405715014154,0.41277323226179624,37.11085614860651,33,28
50,190,-0.02595332648894627,0.034013098054770353,19.699111506337346,0.17011476614076643,0.44215766040913057,34.504536394859244,33,28
50,200,-0.015684989257038748,0.03380807759800556,17.115056284349773,0.16242981479037943,0.39874689357168247,31.132885827819408,33,27
55,70,-0.03852593595395905,0.006927176149095659,-1.6841283591415868,0.3632052753857514,0.47031681631485106,44.026685825230025,33,33
55,80,-0.010610847446713489,0.02579248379763374,9.798705490304418,0.30223571283161055,0.35607125004947066,36.35666621164222,33,33
55,90,-0.011089884603054368,0.025380112646105714,14.972763669956196,0.2709961722789634,0.40787359847232263,34.65501073889364,33,33
55,100,-0.03467308165987641,0.00805574310791951,5.9262440985533305,0.2802996875607201,0.413280946809282,33.503441044846184,33,33
55,110,-0.016374646804354246,0.005640921577565553,6.779695877325973,0.23651928166506683,0.3829834118300457,30.045441641967464,33,33
55,120,-0.044529880932939706,0.06394205981138297,-3.135914443269922,0.23461833019081962,0.4030429155299927,27.289178379149792,33,33
55,130,-0.04390421559166627,-0.020451753546896097,-7.21795309522221,0.2890648396401893,0.47320992783643767,33.252782433260826,33,33
55,140,-0.03044705763913241,0.02826801356874806,1.5176885651800225,0.26369556104508957,0.4445073593980112,31.867063842149797,33,32
55,150,-0.05024626306555649,-0.009895506385380233,5.516231128013143,0.19752114291134118,0.2776601092197803,34.4265732665294,33,32
