quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2020Q1_PRE,2037,7279.T,ハイレックスコーポレーション,輸送用機器,0.40660811189306617,-5.594734367653976,18.2567726737338,9.238677343407115,11.546840958605674,0.5380074739972005,33.06382978723404,50.0,81.32847306601863,95.0,2008.0,6470,-14.334470989761094,2019-12-31,2019-12-31
2020Q1_PRE,2038,2341.T,アルバイトタイムス,サービス業,0.4063968361203378,5.945945945945952,7.10382513661203,19.088500853921612,29.21348314606742,0.20178646346567797,19.402985074626866,50.0,85.21739130434783,85.0,196.0,5774,-2.487562189054726,2019-12-31,2019-12-31
2020Q1_PRE,2039,2418.T,ツカダ・グローバルホールディング,サービス業,0.4059757730958872,6.630824372759858,-1.1627906976744207,5.955118125985489,7.60135135135136,0.0031561326417636204,13.09904153354633,66.66666666666666,93.2601880877743,20.0,595.0,5278,-2.4590163934426257,2019-12-31,2019-12-31
2020Q1_PRE,2040,2217.T,モロゾフ,食料品,0.4052677401792235,5.327873988614296,3.4205281351322725,6.253791886457198,6.924646242836041,0.0007726619320532757,14.528299918196764,58.333333333333336,95.53903355846684,20.0,856.6666870117188,6276,-3.018863387632287,2019-12-31,2019-12-31
2020Q1_PRE,2041,7972.T,イトーキ,その他製品,0.40518084258391046,-9.595959595959592,16.739130434782613,16.309769883498113,20.980392156862738,0.192051066169868,37.261146496815286,66.66666666666666,84.1692789968652,85.0,537.0,6276,-11.092715231788075,2019-12-31,2019-12-31
2020Q1_PRE,2042,7922.T,三光産業,その他製品,0.40501850900503394,-1.866666666666672,1.377410468319562,4.888768487358264,5.555555555555558,0.5357301965044348,16.98564593301436,66.66666666666666,85.5813953488372,0.0,368.0,6535,-11.750599520383698,2019-12-31,2019-12-31
2020Q1_PRE,2043,9537.T,北陸瓦斯,電気・ガス業,0.4049298967842576,2.819237147595355,2.9900332225913706,6.2023711055969155,7.940446650124078,0.000503896900890255,10.578778135048228,41.66666666666667,97.0266040688576,75.0,3100.0,6276,5.0135501355013545,2019-12-31,2019-12-31
2020Q1_PRE,2044,9908.T,日本電計,卸売業,0.4048244850023501,1.0581987515058122,8.259109515828357,12.064776823747515,16.28477364935559,0.40617953603642887,24.905425336323518,58.333333333333336,84.08804839512088,50.0,891.3333129882812,6535,-11.103727237138806,2019-12-31,2019-12-31
2020Q1_PRE,2045,8708.T,アイザワ証券グループ,証券、商品先物取引業,0.40478576461414384,7.36842105263158,2.4390243902439046,10.804979028076446,15.316642120765822,0.3843756595001435,20.50938337801609,41.66666666666667,91.18773946360153,65.0,714.0,4934,-4.289544235924936,2019-12-31,2019-12-31
2020Q1_PRE,2046,4540.T,ツムラ,医薬品,0.4047722492202458,6.467661691542292,8.961303462321801,8.009198472098955,10.924932975871315,0.15635190395628595,22.05056179775281,50.0,89.41504178272982,55.00000000000001,3210.0,6276,-6.956521739130439,2019-12-31,2019-12-31
