sector,sector_signal_date,first_stock,stock_signal_date,lag_bdays,stock_entry_price,price_at_sector_signal,pct_change_by_sector_signal
化学,2009-12-25,4967,2009-06-08,144,1805.0,1840.0,1.94
化学,2010-07-14,4047,2009-12-28,142,697.0,595.0,-14.63
化学,2010-12-10,4918,2010-05-27,141,740.0,655.0,-11.49
化学,2011-02-15,4925,2010-08-03,140,2445.0,2606.0,6.58
化学,2011-04-21,4098,2010-10-04,143,2110.0,4270.0,102.37
化学,2011-09-21,4274,2011-03-28,127,286.0,266.0,-6.99
化学,2011-11-29,4025,2011-05-17,140,1202.5,1102.5,-8.32
化学,2012-02-02,4183,2011-07-19,142,722.5,617.5,-14.53
化学,2012-04-12,4242,2011-09-26,143,1850.0,1675.0,-9.46
化学,2012-04-30,4229,2011-10-14,141,2160.0,2040.0,-5.56
化学,2012-07-10,3405,2011-12-26,141,1080.0,990.23,-8.31
化学,2012-11-07,4025,2012-04-24,141,1140.0,1160.0,1.75
化学,2013-07-16,4218,2012-12-28,142,532.0,802.0,50.75
化学,2013-08-02,4186,2013-01-15,143,598.67,738.0,23.27
化学,2013-10-03,4409,2013-03-19,142,289.0,312.0,7.96
化学,2013-11-25,4183,2013-05-09,142,585.0,612.5,4.7
化学,2014-02-06,4222,2013-07-22,143,980.0,830.0,-15.31
化学,2014-06-27,4531,2013-12-10,143,291.0,264.0,-9.28
化学,2015-05-29,5208,2014-11-10,144,789.0,1066.0,35.11
化学,2015-12-09,4080,2015-05-25,142,463.0,1235.0,166.74
化学,2016-06-07,4224,2015-11-20,142,1630.0,1700.0,4.29
化学,2016-11-15,4112,2016-05-06,137,1125.0,1439.5,27.96
化学,2017-07-28,4462,2017-01-10,143,673.5,889.5,32.07
化学,2018-05-11,4368,2017-10-26,141,3680.0,2720.0,-26.09
化学,2019-02-28,4082,2018-08-14,142,1314.0,897.0,-31.74
化学,2019-09-10,4043,2019-02-22,142,2871.0,2379.0,-17.14
化学,2020-02-06,4245,2019-07-22,143,846.0,887.0,4.85
化学,2020-07-16,4025,2020-01-06,138,4715.0,7170.0,52.07
化学,2021-03-05,4919,2020-08-18,143,5700.0,6130.0,7.54
化学,2021-12-10,7877,2021-05-26,142,1639.0,1665.0,1.59
化学,2022-07-13,4047,2022-01-04,136,1143.0,870.0,-23.88
化学,2022-08-08,4044,2022-01-21,141,2130.0,3305.0,55.16
化学,2023-03-15,4080,2022-08-29,142,1588.0,1408.0,-11.34
化学,2024-11-04,4212,2024-04-22,140,2578.0,2265.0,-12.14
化学,2025-08-19,2930,2025-01-31,142,163.0,152.0,-6.75
医薬品,2002-01-16,4530,2001-09-06,94,1932.0,1630.0,-15.63
医薬品,2002-06-20,4547,2002-01-01,122,1913.0,1621.0,-15.26
医薬品,2003-02-14,4530,2002-10-22,83,1609.0,1392.0,-13.49
医薬品,2003-04-18,4530,2002-10-22,128,1609.0,1375.0,-14.54
医薬品,2004-03-01,4536,2003-08-21,137,261.0,308.6,18.24
医薬品,2004-06-24,4502,2003-12-08,143,4210.0,4840.0,14.96
医薬品,2005-01-13,4556,2004-06-29,142,450.0,426.0,-5.33
医薬品,2006-08-22,4506,2006-02-10,137,1335.0,1409.0,5.54
医薬品,2006-10-12,4530,2006-04-05,136,3030.0,3370.0,11.22
医薬品,2006-12-26,4502,2006-07-20,113,7180.0,8140.0,13.37
医薬品,2008-05-27,4539,2007-11-27,130,5480.0,5080.0,-7.3
医薬品,2009-06-10,4547,2008-11-25,141,2460.0,2270.0,-7.72
医薬品,2010-02-10,4528,2009-08-10,132,888.0,784.0,-11.71
医薬品,2010-09-03,4534,2010-02-15,144,2132.5,2122.5,-0.47
医薬品,2010-12-28,4527,2010-06-16,139,549.0,478.0,-12.93
医薬品,2011-06-24,4502,2010-12-09,141,3950.0,3630.0,-8.1
医薬品,2012-02-14,4538,2011-08-03,139,2170.0,2100.0,-3.23
医薬品,2012-07-09,4570,2011-12-30,136,448.0,484.0,8.04
医薬品,2013-10-15,4583,2013-04-25,123,3875.0,1960.0,-49.42
医薬品,2014-01-21,4534,2013-07-05,142,3407.5,3230.0,-5.21
医薬品,2014-06-26,4512,2013-12-09,143,291.0,251.0,-13.75
医薬品,2014-11-18,4536,2014-05-13,135,1028.0,1338.0,30.16
医薬品,2015-01-16,4502,2014-06-30,144,4722.0,5194.0,10.0
医薬品,2015-07-14,4571,2014-12-29,141,1475.0,1156.0,-21.63
医薬品,2016-06-09,4575,2015-11-27,139,937.0,836.0,-10.78
医薬品,2016-10-21,4575,2016-04-04,144,839.0,659.0,-21.45
医薬品,2017-05-22,4512,2016-11-04,141,225.0,271.0,20.44
医薬品,2017-09-27,4521,2017-03-21,136,6370.0,5790.0,-9.11
医薬品,2018-03-30,4556,2017-09-12,143,673.0,701.0,4.16
医薬品,2018-09-17,4524,2018-03-12,135,3010.0,2555.0,-15.12
医薬品,2018-11-29,4534,2018-05-28,133,3965.0,5075.0,27.99
医薬品,2019-09-27,4151,2019-03-11,144,2292.0,2142.0,-6.54
医薬品,2020-06-05,4579,2019-11-22,140,1438.0,1130.0,-21.42
医薬品,2021-02-08,2160,2020-08-20,122,2167.0,2405.0,10.98
医薬品,2021-06-17,4565,2020-11-30,143,1645.0,1707.0,3.77
医薬品,2021-09-07,4597,2021-02-19,142,167.0,131.0,-21.56
医薬品,2022-04-14,4571,2021-09-27,143,302.0,269.0,-10.93
医薬品,2022-07-18,4538,2022-01-04,139,2577.0,2202.0,-14.55
医薬品,2023-05-10,4887,2022-10-26,140,1398.33,1313.33,-6.08
医薬品,2023-08-14,4586,2023-01-27,141,135.0,158.0,17.04
医薬品,2024-02-13,4553,2023-08-17,128,2418.0,2693.0,11.37
医薬品,2024-02-26,4553,2023-08-17,137,2418.0,2893.0,19.64
医薬品,2024-05-30,4549,2023-11-13,143,1555.0,2070.0,33.12
医薬品,2025-03-31,4572,2024-09-12,142,416.0,290.0,-30.29
医薬品,2025-08-20,4524,2025-02-06,139,2140.0,2210.0,3.27
石油・石炭製品,2002-03-11,5013,2002-01-23,33,550.0,620.0,12.73
石油・石炭製品,2002-12-26,5013,2002-06-17,138,600.0,597.0,-0.5
石油・石炭製品,2003-09-10,5011,2003-02-24,142,365.0,395.0,8.22
石油・石炭製品,2004-01-13,5020,2003-07-01,140,531.0,577.0,8.66
石油・石炭製品,2004-08-03,5010,2004-01-19,141,84.0,163.0,94.05
石油・石炭製品,2005-02-11,5017,2004-08-03,138,4218477568.0,7344567296.0,74.1
石油・石炭製品,2005-06-21,5010,2004-12-06,141,208.0,274.0,31.73
石油・石炭製品,2006-01-02,5017,2005-06-21,139,9703660544.0,12376524800.0,27.54
石油・石炭製品,2006-01-30,5015,2005-08-16,119,562.0,506.0,-9.96
石油・石炭製品,2006-04-11,5011,2005-11-09,109,414.0,475.0,14.73
石油・石炭製品,2006-08-04,5017,2006-01-30,134,13306217472.0,13160952832.0,-1.09
石油・石炭製品,2007-07-23,5013,2007-01-18,132,2420.0,2210.0,-8.68
石油・石炭製品,2007-10-17,5010,2007-05-01,121,438.0,441.0,0.68
石油・石炭製品,2007-12-13,5015,2007-06-20,126,421.0,391.0,-7.13
石油・石炭製品,2008-05-13,5019,2007-11-01,138,668.5,490.0,-26.7
石油・石炭製品,2009-02-20,5011,2008-12-24,42,294.0,286.0,-2.72
石油・石炭製品,2010-03-25,5011,2009-10-21,111,399.0,421.0,5.51
石油・石炭製品,2010-12-03,5013,2010-06-25,115,1190.0,1083.0,-8.99
石油・石炭製品,2011-07-07,5011,2011-01-07,129,350.0,401.0,14.57
石油・石炭製品,2011-12-13,5013,2011-07-05,115,1156.0,858.0,-25.78
石油・石炭製品,2012-11-12,5018,2012-07-18,83,850.0,691.0,-18.71
石油・石炭製品,2013-09-26,5020,2013-05-10,99,524.0,528.0,0.76
石油・石炭製品,2014-05-16,5010,2013-10-28,144,254.0,252.0,-0.79
石油・石炭製品,2015-01-07,5010,2014-06-24,141,263.0,252.0,-4.18
石油・石炭製品,2016-04-20,5011,2015-11-13,113,991.0,827.0,-16.55
石油・石炭製品,2016-10-21,5019,2016-04-04,144,366.0,473.8,29.45
石油・石炭製品,2017-08-29,5018,2017-04-25,90,1888.0,1997.0,5.77
石油・石炭製品,2018-08-17,5020,2018-05-09,72,719.2,751.0,4.42
石油・石炭製品,2019-10-24,5021,2019-07-10,76,1240.0,1179.5,-4.88
石油・石炭製品,2020-01-08,5021,2019-07-10,130,1240.0,1321.0,6.53
石油・石炭製品,2020-09-01,5011,2020-04-23,93,1387.0,1615.0,16.44
石油・石炭製品,2021-01-29,5020,2020-07-22,137,392.8,423.7,7.87
石油・石炭製品,2021-09-22,5015,2021-03-18,134,1325.0,1368.0,3.25
石油・石炭製品,2022-03-01,3315,2021-08-18,139,113.0,141.0,24.78
石油・石炭製品,2023-03-31,5021,2022-11-02,107,1925.0,2142.5,11.3
石油・石炭製品,2023-06-20,5018,2022-12-19,131,1132.0,1181.0,4.33
